rok,delka,hodnoceni_pocet,zanr,zeme
2012,54.0,94,5,10
2012,107.0,1831,5,10
2012,22.0,41,4,10
2007,14.0,26,4,12
2012,6.0,34,14,12
2016,29.0,26,5,10
2012,1011.0,112,1,10
2017,41.0,23,1,10
2019,42.0,24,1,10
2012,46.0,101,13,10
2015,43.0,37,13,10
2016,43.0,38,13,10
2019,43.0,34,13,10
2012,90.0,273,10,11
2012,45.0,103,12,12
2012,87.0,139,11,10
2011,88.0,16,5,10
2016,12.0,12,2,10
2016,12.0,10,2,10
2012,104.0,913,4,12
2012,43.0,33,1,10
2016,60.0,15,1,10
2013,23.0,12,12,10
1980,123.0,164,13,10
2015,53.0,22,4,12
1975,140.0,891,12,2
2012,43.0,11,5,10
1994,58.0,126,12,12
2015,45.0,24,17,10
2012,23.0,58,2,3
2012,24.0,27,2,3
2010,60.0,20,4,11
2014,93.0,3731,12,10
2013,60.0,440,5,11
2014,43.0,12,13,10
2015,968.0,24,13,10
1985,100.0,31,12,1
2011,4.0,12,14,10
2008,30.0,45,4,10
2000,98.0,196,12,10
2011,17.0,27,14,7
2009,4.0,27,14,10
2013,43.0,13,12,10
2016,420.0,25,12,10
2008,45.0,22,4,11
2014,87.0,11,17,10
1972,98.0,1872,12,1
1969,90.0,14,12,1
2016,25.0,22,2,3
2018,25.0,25,2,3
2012,23.0,16,2,3
2013,22.0,201,2,10
2015,22.0,191,2,10
2012,789.0,5062,2,10
2012,97.0,33,4,6
2012,447.0,654,2,10
2014,22.0,179,2,10
1990,80.0,15,4,6
2011,44.0,198,4,10
2013,86.0,10,10,10
2010,8.0,135,14,11
1988,102.0,207,12,2
2013,44.0,17,4,12
2009,60.0,12,4,10
1997,122.0,676,5,6
2015,86.0,786,13,10
2013,96.0,11,7,3
2010,53.0,37,4,2
2012,8.0,21,14,10
1980,99.0,162,1,10
2015,43.0,149,5,10
2011,50.0,54,4,11
2017,44.0,33,13,10
2013,276.0,173,2,3
2016,45.0,16,5,11
2010,6.0,29,14,12
2009,57.0,13,4,12
1960,94.0,14,1,2
2013,754.0,985,12,11
2016,43.0,10,1,10
2013,91.0,12,24,10
2015,22.0,12,2,10
2012,87.0,105,12,13
2013,70.0,1745,2,12
1999,15.0,42,14,11
2015,45.0,65,13,10
2013,60.0,2722,4,11
2014,541.0,1524,7,10
2016,43.0,221,7,10
2017,677.0,857,5,12
2017,52.0,167,5,12
2018,60.0,149,5,12
2014,28.0,859,12,12
2013,86.0,134,12,10
2018,60.0,44,13,11
2012,3.0,30,14,1
1997,180.0,11,26,10
2013,83.0,53,4,10
2013,86.0,6273,10,10
2012,90.0,373,5,10
2016,96.0,511,13,10
1994,100.0,19,24,10
2013,22.0,260,12,10
2014,21.0,223,12,10
2015,21.0,196,12,10
2015,43.0,23,1,10
2016,42.0,23,1,10
2013,46.0,12,13,10
1957,93.0,26,5,10
2014,76.0,180,5,10
2016,42.0,11,5,10
2015,29.0,105,12,10
1987,91.0,125,1,10
2011,7.0,29,14,9
2016,22.0,42,12,10
2018,20.0,40,12,10
2013,3624.0,2520,12,10
2008,4.0,775,14,10
2012,50.0,57,4,6
2009,60.0,30,12,11
2001,4.0,147,14,10
2012,2028.0,11,4,1
2021,43.0,31,13,10
2017,58.0,169,5,10
2014,56.0,169,5,12
2011,24.0,392,14,10
2013,4.0,25,14,11
2013,25.0,18,2,3
2013,25.0,16,2,3
2014,24.0,11,2,3
2002,5.0,279,14,10
2012,23.0,32,14,9
2012,45.0,221,4,6
2009,6.0,196,5,10
2013,4.0,292,14,10
2013,5.0,29,2,11
2013,250.0,18,4,10
2013,4.0,18,14,10
2013,50.0,26,4,6
1998,96.0,73,5,10
2014,44.0,13,5,10
2016,102.0,11,1,10
2014,94.0,45,10,10
2019,264.0,19,4,11
2016,42.0,14,5,10
2015,27.0,18,4,12
2013,70.0,47,11,9
2018,86.0,7277,2,10
2011,52.0,124,4,1
2014,23.0,30,2,3
2016,430.0,334,5,10
2013,47.0,143,5,12
1995,4.0,67,14,10
2014,91.0,558,5,10
2015,20.0,62,12,10
2016,23.0,41,12,10
2014,40.0,13,5,10
1908,13.0,10,14,10
2011,3.0,200,14,11
2004,1234.0,22,13,7
2017,51.0,74,13,10
2013,52.0,162,14,10
2013,6.0,247,20,12
1956,113.0,29,5,1
2014,193.0,65,26,10
2014,52.0,41,11,12
2021,42.0,64,1,10
2014,112.0,59,28,3
2014,44.0,333,13,10
2013,2.0,36,14,11
2013,42.0,19,4,6
2014,27.0,12,4,9
2007,11.0,73,2,10
1984,10.0,11,14,3
2017,42.0,43,12,10
2013,4.0,64,14,10
2014,576.0,198,2,3
2014,50.0,123,4,10
2018,56.0,191,1,10
2014,5.0,173,12,12
2014,79.0,446,10,4
2013,2.0,17,14,10
2015,83.0,888,10,10
2014,44.0,94,13,10
2013,1367.0,17,12,10
2015,56.0,17,22,12
2015,63.0,115,12,12
2010,6.0,25,14,10
2016,92.0,36,4,10
2020,61.0,109,5,10
2014,56.0,167,3,12
2015,43.0,68,3,10
1999,4.0,65,11,12
2016,42.0,10,12,10
2009,44.0,25,14,10
2017,48.0,15,5,10
2014,114.0,110,4,6
1968,88.0,34,30,2
2017,21.0,13,12,10
2004,4.0,109,14,12
2012,4.0,75,14,12
2016,41.0,20,13,10
2020,25.0,13,2,3
2014,25.0,23,2,3
2014,64.0,26,11,12
2020,45.0,32,13,11
2014,4.0,15,14,11
1996,41.0,205,11,10
1996,26.0,82,14,1
2014,3.0,25,14,9
2014,90.0,17,1,6
2014,43.0,446,3,10
2015,179.0,34,26,10
2016,88.0,391,13,10
2015,26.0,41,4,12
2016,93.0,548,13,10
2014,4.0,43,14,10
2014,62.0,438,4,10
2017,103.0,44,12,11
2015,91.0,58,5,1
2009,364.0,10,2,1
2021,54.0,42,13,10
2015,50.0,70,12,9
2013,59.0,103,4,11
2017,45.0,52,5,10
2015,3.0,119,12,12
2015,75.0,55,5,11
2014,27.0,16,4,12
2012,52.0,129,4,6
2014,22.0,14,12,10
1997,96.0,31,1,10
2016,57.0,121,5,10
2017,58.0,116,5,10
2016,305.0,981,1,10
2018,30.0,301,1,10
2018,40.0,20,1,10
2014,90.0,82,28,10
2002,5.0,183,14,12
2015,58.0,468,13,12
2015,86.0,850,10,10
2016,48.0,422,13,10
1956,2.0,30,11,10
2014,15.0,10,14,4
2015,22.0,11,12,10
2015,25.0,13,2,3
2019,25.0,13,2,3
2015,276.0,21,2,3
2017,22.0,12,2,10
1974,5.0,11,11,11
2018,28.0,25,12,10
2019,27.0,25,12,10
2013,60.0,42,4,11
2005,90.0,31,12,6
2015,81.0,70,4,10
2016,55.0,64,12,12
2019,59.0,48,5,10
2016,25.0,11,12,9
2009,26.0,19,4,1
2018,63.0,125,4,10
2016,91.0,283,10,10
2016,42.0,11,5,10
2016,23.0,45,2,3
1952,73.0,18,5,10
2015,18.0,10,2,3
2016,107.0,14,23,4
2014,52.0,25,4,8
2015,49.0,22,4,11
1975,90.0,123,11,11
1990,90.0,137,12,10
2015,52.0,14,12,1
2019,50.0,281,24,10
2015,62.0,53,4,11
2015,45.0,11,4,6
2015,63.0,10,4,1
1994,91.0,736,1,10
2013,6.0,56,14,10
2010,4.0,80,14,10
2002,91.0,5890,12,10
2016,82.0,10,4,10
2017,427.0,148,17,10
2016,70.0,13,4,13
2017,33.0,24,12,10
2019,29.0,19,12,10
2016,23.0,13,2,3
2016,27.0,71,14,1
2016,25.0,33,2,3
2008,4.0,23,11,10
2018,47.0,45,13,11
2016,26.0,13,4,12
2016,30.0,38,27,10
1986,18.0,106,14,3
1944,26.0,123,28,11
2017,50.0,16,5,6
2016,90.0,19,5,10
2018,43.0,27,5,10
2016,83.0,67,17,10
2016,87.0,59,12,10
2019,44.0,40,13,10
2019,24.0,23,2,3
2018,21.0,13,12,10
2017,22.0,13,12,10
2013,90.0,13,4,1
2014,48.0,24,4,6
2015,58.0,12,4,1
2015,45.0,34,4,4
2024,160.0,2156,7,10
2019,43.0,130,13,10
1996,4.0,11,14,10
1959,90.0,38,24,3
2007,17.0,13,20,12
2016,3.0,32,14,12
1964,80.0,11,10,10
2017,237.0,9312,12,12
2016,80.0,27,2,4
2015,14.0,57,10,12
1994,90.0,205,1,10
2014,50.0,173,21,10
2011,5.0,51,14,10
1987,42.0,23,11,10
1998,86.0,78,5,10
2017,120.0,65,5,3
1996,121.0,15998,1,10
2012,44.0,523,5,10
2016,71.0,14,2,10
2016,70.0,12,20,12
2016,122.0,474,4,11
2016,76.0,71,5,10
1989,35.0,16,11,10
2016,828.0,13,1,4
2017,49.0,114,12,10
2007,81.0,10,5,10
1941,100.0,2875,8,10
2016,80.0,199,4,6
2017,22.0,11,10,10
2016,144.0,68,2,9
2016,43.0,16,5,4
1995,98.0,2544,12,10
2017,55.0,63,5,12
2018,55.0,53,5,12
2015,52.0,30,4,1
2017,23.0,33,12,10
2009,11.0,15,14,10
2008,4.0,12,14,10
2018,48.0,101,13,12
2019,45.0,106,13,12
2016,85.0,11,4,1
2017,24.0,33,2,3
2002,57.0,12,14,10
2016,124.0,39,19,10
2017,108.0,318,5,10
2016,95.0,20,5,7
2014,3.0,12,14,10
2007,46.0,10,14,10
1979,4.0,40,14,11
2017,30.0,13,12,10
2019,252.0,29,5,4
2017,42.0,69,12,9
2015,83.0,14,4,10
2017,101.0,318,5,10
2017,26.0,194,12,10
2008,35.0,10,14,10
1990,72.0,39,12,6
2017,69.0,25,12,10
2008,34.0,10,14,11
2017,32.0,112,12,10
1958,65.0,182,24,10
2013,52.0,127,4,1
2017,13.0,48,2,12
2014,10.0,15,14,12
2005,78.0,44,12,10
2016,9.0,10,12,12
2019,43.0,193,5,10
2020,43.0,147,5,10
