delka,rok,hodnoceni_procenta,hodnoceni_pocet,zanr,zeme
968.0,2015,68.0,24,13,10
100.0,1985,67.0,31,12,1
4.0,2011,35.0,12,14,10
30.0,2008,78.0,45,4,10
98.0,2000,43.0,196,12,10
17.0,2011,65.0,27,14,7
4.0,2009,64.0,27,14,10
43.0,2013,78.0,13,12,10
420.0,2016,82.0,25,12,10
45.0,2008,64.0,22,4,11
87.0,2014,42.0,11,17,10
98.0,1972,72.0,1872,12,1
90.0,1969,61.0,14,12,1
25.0,2016,97.0,22,2,3
25.0,2018,92.0,25,2,3
23.0,2012,89.0,16,2,3
22.0,2013,89.0,201,2,10
22.0,2015,82.0,191,2,10
789.0,2012,84.0,5062,2,10
97.0,2012,81.0,33,4,6
447.0,2012,86.0,654,2,10
22.0,2014,96.0,179,2,10
80.0,1990,64.0,15,4,6
44.0,2011,47.0,198,4,10
86.0,2013,8.0,10,10,10
8.0,2010,86.0,135,14,11
102.0,1988,46.0,207,12,2
44.0,2013,73.0,17,4,12
60.0,2009,60.0,12,4,10
122.0,1997,75.0,676,5,6
86.0,2015,86.0,786,13,10
96.0,2013,51.0,11,7,3
53.0,2010,76.0,37,4,2
8.0,2012,27.0,21,14,10
99.0,1980,55.0,162,1,10
43.0,2015,83.0,149,5,10
50.0,2011,74.0,54,4,11
44.0,2017,94.0,33,13,10
276.0,2013,64.0,173,2,3
45.0,2016,65.0,16,5,11
6.0,2010,28.0,29,14,12
57.0,2009,77.0,13,4,12
94.0,1960,60.0,14,1,2
754.0,2013,83.0,985,12,11
43.0,2016,72.0,10,1,10
91.0,2013,28.0,12,24,10
22.0,2015,65.0,12,2,10
87.0,2012,71.0,105,12,13
70.0,2013,82.0,1745,2,12
15.0,1999,69.0,42,14,11
45.0,2015,94.0,65,13,10
60.0,2013,95.0,2722,4,11
541.0,2014,78.0,1524,7,10
43.0,2016,83.0,221,7,10
677.0,2017,62.0,857,5,12
52.0,2017,63.0,167,5,12
60.0,2018,68.0,149,5,12
28.0,2014,75.0,859,12,12
86.0,2013,59.0,134,12,10
60.0,2018,84.0,44,13,11
3.0,2012,70.0,30,14,1
180.0,1997,98.0,11,26,10
83.0,2013,80.0,53,4,10
86.0,2013,29.0,6273,10,10
90.0,2012,71.0,373,5,10
96.0,2016,86.0,511,13,10
100.0,1994,59.0,19,24,10
22.0,2013,76.0,260,12,10
21.0,2014,77.0,223,12,10
21.0,2015,81.0,196,12,10
43.0,2015,70.0,23,1,10
42.0,2016,69.0,23,1,10
46.0,2013,70.0,12,13,10
93.0,1957,72.0,26,5,10
76.0,2014,63.0,180,5,10
42.0,2016,78.0,11,5,10
29.0,2015,95.0,105,12,10
91.0,1987,56.0,125,1,10
7.0,2011,32.0,29,14,9
22.0,2016,74.0,42,12,10
20.0,2018,74.0,40,12,10
3624.0,2013,57.0,2520,12,10
4.0,2008,60.0,775,14,10
50.0,2012,86.0,57,4,6
60.0,2009,89.0,30,12,11
4.0,2001,62.0,147,14,10
2028.0,2012,71.0,11,4,1
43.0,2021,83.0,31,13,10
58.0,2017,86.0,169,5,10
56.0,2014,71.0,169,5,12
24.0,2011,85.0,392,14,10
